failure,rawReadErrorRate,spinUpTime,startStopCount,reallocatedSectors,seekErrorRate,powerOnHours,spinRetryCount,powerCycleCount,reportedUncorrect,loadCycleCount,temperature,pendingSectors,offlineUncorrectable,crcErrorCount,brand_HGST,brand_Other,brand_Seagate,brand_Toshiba,brand_WD
0,49179408.0,0.0,3.0,0.0,309885347.0,7652.0,0.0,2.0,0.0,524.0,26.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,8096.0,11.0,0.0,0.0,8583.0,0.0,11.0,0.0,24.0,36.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,6354.0,7.0,0.0,0.0,8710.0,0.0,7.0,0.0,19.0,32.0,0.0,0.0,0.0,0,0,0,1,0
0,165678496.0,0.0,21.0,0.0,359264079.0,62040.0,0.0,20.0,0.0,2942.0,27.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,7972.0,4.0,0.0,0.0,28507.0,0.0,2.0,0.0,136.0,30.0,0.0,0.0,0.0,0,0,0,1,0
0,123484696.0,0.0,3.0,0.0,333240828.0,8018.0,0.0,3.0,0.0,543.0,28.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
1,0.0,6761.0,14.0,0.0,0.0,20377.0,0.0,14.0,0.0,2643.0,42.0,0.0,0.0,0.0,0,0,0,1,0
0,30268552.0,0.0,11.0,0.0,540827532.0,24983.0,0.0,11.0,0.0,4076.0,46.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,362.0,8.0,0.0,0.0,1930.0,0.0,8.0,0.0,123.0,29.0,0.0,0.0,0.0,0,0,0,0,1
0,217719912.0,0.0,5.0,0.0,711247490.0,23685.0,0.0,5.0,0.0,22425.0,40.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,7784.0,7.0,0.0,0.0,32290.0,0.0,7.0,0.0,102.0,36.0,0.0,0.0,0.0,0,0,0,1,0
0,182464192.0,0.0,16.0,0.0,4261337739.0,72569.0,0.0,16.0,0.0,32023.0,36.0,0.0,0.0,0.0,0,0,1,0,0
1,0.0,0.0,8.0,27.0,0.0,38183.0,0.0,7.0,0.0,1492.0,29.0,168.0,21.0,0.0,1,0,0,0,0
0,0.0,332.0,12.0,0.0,0.0,23316.0,0.0,12.0,0.0,1497.0,42.0,0.0,0.0,0.0,0,0,0,0,1
0,234222864.0,0.0,2.0,0.0,713285846.0,27413.0,0.0,2.0,0.0,2581.0,39.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,376.0,10.0,0.0,0.0,31860.0,0.0,10.0,0.0,1230.0,34.0,0.0,0.0,0.0,0,0,0,0,1
0,208433680.0,0.0,3.0,0.0,217277073.0,4581.0,0.0,2.0,0.0,368.0,28.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,0.0,3.0,0.0,0.0,73963.0,0.0,3.0,0.0,3.0,30.0,0.0,0.0,0.0,1,0,0,0,0
1,0.0,407.0,13.0,0.0,0.0,32320.0,0.0,8.0,0.0,1773.0,31.0,2.0,30.0,0.0,1,0,0,0,0
0,0.0,350.0,8.0,0.0,0.0,16473.0,0.0,8.0,0.0,961.0,32.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,7865.0,11.0,0.0,0.0,28322.0,0.0,11.0,0.0,18.0,25.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,335.0,8.0,0.0,0.0,19096.0,0.0,8.0,0.0,6627.0,34.0,0.0,0.0,0.0,0,0,0,0,1
0,165427832.0,0.0,13.0,0.0,643028518.0,44934.0,0.0,12.0,0.0,1994.0,37.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,9733.0,13.0,0.0,0.0,950.0,0.0,13.0,0.0,22.0,30.0,0.0,0.0,0.0,0,0,0,1,0
